course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
Accounting & Financial Statement Analysis: Complete Training,640100,4.65,61781,12993,3.5 hours,English,Paid,365 Careers,8280056,1,59,2015-10-22,2022-10-12,3499.0,449.0,All Levels,Finance & Accounting,Financial Accounting,Yes,Accounting & Financial Ratio Analysis made easy. Learn important accounting skills that will get your foot in the door!,https://www.udemy.com/course/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,https://img-c.udemycdn.com/course/750x422/640100_9f85_5.jpg
Advanced Stock Trading Course + Strategies,1587644,4.59,80675,12664,9.5 hours,English,Paid,Mohsen Hassan and bloom team,"33900490, 78215910",2,43,2018-03-26,2022-04-11,3499.0,449.0,All Levels,Finance & Accounting,Stock Trading,No,"Learn To Trade The Stock Market. For: Stocks, Day Trading, Swing Trading and Financial Trading",https://www.udemy.com/course/advanced-course-plus-strategies/,https://img-c.udemycdn.com/course/750x422/1587644_6786_5.jpg
Accounting in 60 Minutes - A Brief Introduction,48841,4.46,88018,12325,1.5 hours,English,Paid,Vincent Turner,156449,1,16,2013-04-07,2021-07-15,1499.0,449.0,Beginner Level,Finance & Accounting,Accounting,No,Learn the very basics of accounting in just about an hour.,https://www.udemy.com/course/accounting-in-60-minutes-a-brief-introduction/,https://img-c.udemycdn.com/course/750x422/48841_9110_7.jpg
Excel Crash Course: Master Excel for Financial Analysis,985922,4.63,36468,10224,3.5 hours,English,Paid,Scott Powell,17082746,1,40,2016-10-18,2016-11-21,1999.0,449.0,All Levels,Finance & Accounting,Excel,No,"Beginner to Advanced: Learn Excel Shortcuts, Formulas & Functions for Financial Modeling & Corporate Finance",https://www.udemy.com/course/excel-crash-course-master-excel-for-financial-analysis/,https://img-c.udemycdn.com/course/750x422/985922_4fc9_2.jpg
Finance for Non-Finance: Learn Quick and Easy,595258,4.5,26510,9678,2.5 hours,English,Paid,Anthony Jameson,15182984,1,30,2016-02-25,2016-02-25,1299.0,449.0,Beginner Level,Finance & Accounting,Finance Fundamentals,No,"Obtain Suplemental Skills to Get a Raise, Better Job or Improve Your Own Business",https://www.udemy.com/course/finance-for-non-financials-make-profitable-decisions/,https://img-c.udemycdn.com/course/750x422/595258_5192_3.jpg
"The Complete Personal Finance Course: Save,Protect,Make More",1356742,4.64,129415,8554,16 hours,English,Paid,Chris Haroun,14942868,1,123,2017-12-27,2022-08-11,3499.0,449.0,All Levels,Finance & Accounting,Personal Finance,Yes,"3 Courses in 1! Save,Protect & Make More! By an Award Winning MBA Professor, VC & Best Selling Online Business Teacher.",https://www.udemy.com/course/the-complete-personal-finance-course-save-protect-make-more/,https://img-c.udemycdn.com/course/750x422/1356742_c0b1_5.jpg
"Economics: Market Forces of demand, supply and equilibrium",1378318,4.48,14489,8311,1 hour,English,Paid,Evrim Kanbur,11913054,1,23,2017-10-25,2017-10-19,2299.0,449.0,Beginner Level,Teaching & Academics,Economics,No,"Economics: Analyzing Demand, Supply, and Market Equilibrium with real life case studies.",https://www.udemy.com/course/the-market-forces-of-demand-supply-equilibrium/,https://img-c.udemycdn.com/course/750x422/1378318_d894_6.jpg
Cryptocurrency Trading/TA Course 2022: Achieve Wins Daily!,1400386,4.23,33012,7807,5.5 hours,English,Paid,Suppoman ™,9150270,1,54,2017-11-09,2021-06-06,3499.0,449.0,All Levels,Finance & Accounting,Cryptocurrency,No,The Complete Guide to Cryptocurrency Trading and accumulating profits for your retirement!,https://www.udemy.com/course/cryptocurrencytrading/,https://img-c.udemycdn.com/course/750x422/1400386_8884.jpg
The Complete Cryptocurrency Investment Course,1884490,4.58,37605,7633,12.5 hours,English,Paid,Mohsen Hassan and bloom team,"33900490, 78215910",2,73,2018-09-29,2022-04-11,3499.0,449.0,All Levels,Finance & Accounting,Cryptocurrency,No,Learn everything about Cryptocurrency: From the Blockchain and Bitcoin to Cryptocurrency investing techniques!,https://www.udemy.com/course/complete-cryptocurrency-investing-course-passive-active/,https://img-c.udemycdn.com/course/750x422/1884490_0881_5.jpg
Options Trading Basics (3-Course Bundle),43319,4.46,47827,7557,11.5 hours,English,Paid,Hari Swaminathan,597405,1,47,2013-02-25,2019-12-03,3399.0,449.0,Beginner Level,Finance & Accounting,Options Trading,Yes,"A bundle combines 1)Intro to Call and Put Options 2) Time decay, Implied Volatility, Greeks 3) Call and Puts Live trades",https://www.udemy.com/course/learn-options-trading-courses/,https://img-c.udemycdn.com/course/750x422/43319_36fd_6.jpg
Financial Planning & Analysis: Building a Company's Budget,739390,4.56,32534,7034,4.5 hours,English,Paid,365 Careers,8280056,1,43,2016-06-15,2022-08-10,3499.0,449.0,All Levels,Finance & Accounting,Business Budgeting,Yes,Learn the Fundamentals of Financial Planning and Position Your Career for Success!,https://www.udemy.com/course/financial-planning-analysis-building-a-companys-budget/,https://img-c.udemycdn.com/course/750x422/739390_f2ec_4.jpg
Mastering QuickBooks Online,1337064,4.48,24775,7004,4 hours,English,Paid,Mark Smolen,2597538,1,35,2017-09-01,2022-05-25,2799.0,449.0,All Levels,Business,QuickBooks Online,Yes,Become An Expert QuickBooks Online And Learn How To Keep And Maintain QuickBooks Records For Perfect Accuracy,https://www.udemy.com/course/mastering-quickbooks-online/,https://img-c.udemycdn.com/course/750x422/1337064_745d_3.jpg
"Altcoin Ratings, Reviews, & Price Analysis System",2577854,4.57,23566,6835,10.5 hours,English,Paid,The Bearable Bull,38963644,1,177,2019-10-11,2022-11-01,799.0,449.0,Intermediate Level,Finance & Accounting,Personal Finance,No,*I'M NOT A FINANCIAL ADVISER & THIS IS NOT FINANCIAL ADVICE*,https://www.udemy.com/course/the-bulls-ratings-reviews-course/,https://img-c.udemycdn.com/course/750x422/2577854_6840.jpg
SAP FICO (Financial Accounting & Management Accounting),1592862,4.32,38056,6704,40.5 hours,English,Paid,Rana W Mehmood,45407028,1,45,2018-03-20,2022-06-26,3499.0,449.0,All Levels,IT & Software,SAP FICO,Yes,The course covers both configuration and end-user processes for SAP FICO module,https://www.udemy.com/course/sap-fico-training-course/,https://img-c.udemycdn.com/course/750x422/1592862_c178_2.jpg
Value Investing Bootcamp: How to Invest Wisely,203732,4.68,41514,6505,4.5 hours,English,Paid,Nick Kraakman,4830818,1,27,2014-06-20,2020-09-07,3499.0,449.0,All Levels,Finance & Accounting,Value Investing,Yes,"Learn the Secrets of the Best Stock Investors, Manage Your Own Portfolio, And Earn Market Beating Returns",https://www.udemy.com/course/value-investing-bootcamp-how-to-invest-wisely/,https://img-c.udemycdn.com/course/750x422/203732_88ed_4.jpg
MBA ASAP Corporate Finance Fundamentals for Career Success,1326708,4.57,13524,6142,17.5 hours,English,Paid,John Cousins,28341690,1,140,2017-09-04,2022-11-08,1299.0,449.0,Beginner Level,Finance & Accounting,Corporate Finance,No,"Concepts & Tools of Financial Analysis, Valuation, Investing, Money Management, and Decision Making. DCF,NPV, IRR & more",https://www.udemy.com/course/corporate-finance-fundementals/,https://img-c.udemycdn.com/course/750x422/1326708_82ae_4.jpg
Options Trading for Rookies:  Understand Options Completely,848664,4.71,27921,6130,2.5 hours,English,Paid,Kal Zurn and SharperTrades LCC,"5207370, 62979440",2,61,2016-08-10,2022-11-07,3499.0,449.0,All Levels,Finance & Accounting,Financial Trading,Yes,"Part 1:  Learn everything you need to know about options, what they are, how they work, buying vs. selling and more!",https://www.udemy.com/course/complete-course-introduction-to-option-trading/,https://img-c.udemycdn.com/course/750x422/848664_c924_7.jpg
"Anti-Money Laundering Concepts: AML, KYC and Compliance",3385322,4.52,93032,6119,1.5 hours,English,Paid,GenMan Solutions,127635862,1,24,2020-08-06,2022-11-03,1299.0,449.0,All Levels,Finance & Accounting,Anti-Money Laundering,Yes,"(Highest number of Students Enrolled) Anti-Money Laundering(AML), AML policies, AML KYC & AML Compliance",https://www.udemy.com/course/anti-money-laundering-aml-kyc/,https://img-c.udemycdn.com/course/750x422/3385322_e814.jpg
