course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
The Complete Facebook Ads Course - Beginner to Advanced,987428,4.19,18467,3447,6 hours,English,Paid,Daragh Walsh and Codestars • over 2 million students worldwide!,"1800590, 33231436",2,47,2017-04-26,2020-01-23,3499.0,449.0,All Levels,Marketing,Facebook Ads,No,"Master Facebook Advertising and Grow Any Business - Facebook Marketing Strategy, Ad Retargeting, Remarketing & More!",https://www.udemy.com/course/facebook-ads-course-beginner-to-advanced/,https://img-c.udemycdn.com/course/750x422/987428_5392_10.jpg
The Complete Mailchimp Email Marketing Course,573994,4.38,21389,3418,3.5 hours,English,Paid,COURSE ENVY,10508972,1,30,2016-03-11,2022-10-20,2299.0,449.0,All Levels,Marketing,Email Marketing,Yes,"Learn how to use Mailchimp, grow an email subscriber list and build high quality email marketing campaigns!",https://www.udemy.com/course/mailchimp-email-marketing/,https://img-c.udemycdn.com/course/750x422/573994_a4a8_2.jpg
Social Media Management,20176,3.82,88496,3319,9 hours,English,Paid,Eric Schwartzman,68766,1,37,2012-07-14,2015-01-24,799.0,449.0,All Levels,Marketing,N/A,No,"Digital marketing training to Learn How to Use Social Media, Social Media Strategy and Social Media Marketing.",https://www.udemy.com/course/social-media-for-business/,https://img-c.udemycdn.com/course/750x422/20176_02fb_16.jpg
10 Facebook Ads Strategies That Make Me 6-Figures,1725350,4.55,14524,3311,2 hours,English,Paid,Nik Swami,45314546,1,12,2018-06-01,2022-09-20,3399.0,449.0,All Levels,Marketing,Facebook Ads,No,"Use Facebook Ads to quickly grow your followers, leads and sales in 2022. Start winning with Facebook advertising today!",https://www.udemy.com/course/facebookadsstrategies/,https://img-c.udemycdn.com/course/750x422/1725350_c615_3.jpg
YouTube Marketing 2022: YouTube SEO & YouTube Algorithms,690694,4.28,25223,3281,12 hours,English,Paid,Alex Genadinik,4116740,1,174,2015-12-16,2022-09-21,3499.0,449.0,All Levels,Marketing,YouTube Marketing,No,"YouTube marketing to grow your video views & subscribers with YouTube SEO, recommendations, YouTube ads & YouTube live",https://www.udemy.com/course/youtube-success-tips-how-to-get-views/,https://img-c.udemycdn.com/course/750x422/690694_f5f5_17.jpg
SEO Training,20869,4.38,70321,3266,9.5 hours,English,Paid,Eric Schwartzman,68766,1,42,2012-07-18,2012-11-13,799.0,449.0,All Levels,Marketing,SEO,No,SEO online training from the top-rated social media training provider. Google SEO training course for computer or mobile,https://www.udemy.com/course/search-engine-optimization-for-business/,https://img-c.udemycdn.com/course/750x422/20869_df8f_9.jpg
SEO:Amazon Affiliate Marketing+SEO |250+ Videos |18.0 Hours,657590,4.56,28602,3119,20 hours,English,Paid,The SEO Academy Leaders in SEO education,16143960,1,352,2016-11-10,2021-05-13,3499.0,449.0,All Levels,Marketing,SEO,No,"Updated Oct 2020: SEO + Amazon Affiliate Sites: ahrefs niche & keyword research, WordPress SEO, on page SEO, SEO silos",https://www.udemy.com/course/seo-complete-guide-to-building-amazon-affiliate-sites/,https://img-c.udemycdn.com/course/750x422/657590_edac_4.jpg
Facebook Ads & Instagram Ads Course 2023 + Meta 410-101 Exam,1691662,4.45,132795,2931,32 hours,English,Paid,"Ing. Tomas Moravek | Facebook Ads Expert and SEO, Facebook Ads & Digital Marketing Academy and Beck Robertson","42603214, 80579746, 112607328",3,204,2018-05-16,2022-11-06,3499.0,449.0,Beginner Level,Marketing,Facebook Marketing,No,Learn Facebook Ads Properly. Boost E-commerce Sales. Enjoy Quizzes. Become 410-101: Certified Media Buying Professional.,https://www.udemy.com/course/facebook-instagram-messenger-ads-course/,https://img-c.udemycdn.com/course/750x422/1691662_4ecb_24.jpg
Digital Marketing Agency | Start a Social Media Business,2524202,4.53,17716,2839,88 hours,English,Paid,Robin & Jesper,36921905,1,690,2019-10-09,2022-11-03,3499.0,449.0,All Levels,Marketing,Startup,Yes,"Build a Digital Marketing Agency Business with Social Media (SMMA), Facebook Ads, Instagram Marketing, WordPress, SEO",https://www.udemy.com/course/digital-marketing-agency-social-media-marketing-business/,https://img-c.udemycdn.com/course/750x422/2524202_0720_14.jpg
"Copywriting - Become a Freelance Copywriter, your own boss",12248,4.12,32839,2831,3 hours,English,Paid,Len Smith and Sean Kaye,"80922, 701386",2,37,2012-01-12,2018-04-20,3199.0,449.0,All Levels,Marketing,Copywriting,No,Build a successful freelance copywriting business - turn basic writing skills into a paycheck.,https://www.udemy.com/course/how-to-become-a-copywriter-from-home/,https://img-c.udemycdn.com/course/750x422/12248_0b1d_12.jpg
