course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
Learn Adobe After Effects CC 2019 for Beginners,2345832,4.8,2765,813,3 hours,English,Paid,Jordy Vandeput,7502200,1,17,2019-05-01,2019-04-30,3399.0,449.0,Beginner Level,Photography & Video,Video Editing,No,Dive in the world of Visual Effects in this exciting and themed hands-on course,https://www.udemy.com/course/adobe-after-effects-beginners/,https://img-b.udemycdn.com/course/750x422/2345832_ab39_2.jpg
Start Your Filmmaking Career: A Video Production Course,1219760,4.1,61860,812,3 hours,English,Paid,Julian Melanson and Phil Ebiner and Video School,"25772334, 317821, 19701574",3,51,2017-06-30,2022-08-06,3499.0,449.0,Beginner Level,Photography & Video,Filmmaking,No,Turn Your Videography Skills Into a Filmmaking Business with Our 7-Step Process!,https://www.udemy.com/course/start-a-filmmaking-career/,https://img-b.udemycdn.com/course/750x422/1219760_0282_3.jpg
Learn to Color Grade and Edit video with DaVinci Resolve 15,369162,4.45,7006,809,2.5 hours,English,Paid,Logan Bean,5861902,1,44,2015-02-21,2018-09-13,3399.0,449.0,All Levels,Photography & Video,DaVinci Resolve,No,Professionally create stunning videos with the worlds most powerful FREE video editing software.,https://www.udemy.com/course/davinciediting/,https://img-b.udemycdn.com/course/750x422/369162_51f4_9.jpg
Landscape & Nature Photography: Capture Stunning Photography,1171498,4.9,94879,809,4.5 hours,English,Paid,Phil Ebiner and William Carnahan and Sam Shimizu-Jones and Video School,"317821, 14267432, 10228478, 19701574",4,53,2017-04-19,2022-09-30,799.0,449.0,Beginner Level,Photography & Video,Landscape Photography,No,"With this complete landscape & nature photography course, you will shoot amazing photos that truly impress!",https://www.udemy.com/course/landscape-photography-course/,https://img-b.udemycdn.com/course/750x422/1171498_e380_4.jpg
Ultimate Guide to Landscape and Nature Photography,1346912,4.4,5885,800,10.5 hours,English,Paid,Charlie Borland,228573,1,87,2017-11-10,2022-02-27,2599.0,449.0,Beginner Level,Photography & Video,Nature Photography,No,"Learn how lighting, composition, and photography techniques help you create stunning landscape and nature photography",https://www.udemy.com/course/ultimate-guide-to-landscape-and-nature-photography/,https://img-b.udemycdn.com/course/750x422/1346912_5fb5.jpg
Master Adobe Lightroom Fast,448878,4.25,9529,792,2 hours,English,Paid,Mark Richardson,254141,1,22,2015-09-10,2017-02-12,799.0,449.0,Beginner Level,Photography & Video,Adobe Lightroom,No,"Learn how to use Adobe Lightroom to organize, keyword, and edit your photos. This course will get you up to speed fast!",https://www.udemy.com/course/masterlightroomfast/,https://img-b.udemycdn.com/course/750x422/448878_c3c4.jpg
Photoshop Effects - How to Create Photo Effects,966300,4.45,74326,790,1 hour,English,Paid,"Jeremy Deighan - 265,000+ Students and Concept Courses ⁯⁯⁯⁯⁯","12589212, 34003842",2,18,2016-11-05,2018-11-21,3399.0,449.0,All Levels,Photography & Video,Photoshop,No,Create Photoshop Effects from scratch. Make popular photographic effects in Adobe Photoshop by doing practical projects.,https://www.udemy.com/course/photoshop-effects-photo-effects/,https://img-b.udemycdn.com/course/750x422/966300_6062_3.jpg
Posing Like A Pro: Create Your Best Portraits Ever! Part 1,1329880,4.41,6160,788,5 hours,English,Paid,Sandy Dee,8307430,1,80,2017-10-06,2020-04-25,3499.0,449.0,Beginner Level,Photography & Video,Posing,Yes,Learn the Foundations of Poses That Will Flatter Your Subjects And Elevate Your Portrait Photography Skills,https://www.udemy.com/course/posing-like-a-pro-create-your-best-portraits-ever/,https://img-b.udemycdn.com/course/750x422/1329880_f59b.jpg
Become an iMovie Master - Create Amazing Movies Today,1244152,4.76,5489,777,2.5 hours,English,Paid,Steve Burnich,26292040,1,39,2017-08-02,2019-08-02,3499.0,449.0,All Levels,Photography & Video,iMovie,Yes,The quickest and easiest way to learn iMovie editing from beginner to advanced. (Practice Media Included),https://www.udemy.com/course/masteringimovie/,https://img-b.udemycdn.com/course/750x422/1244152_082c_3.jpg
EasyDSLR Digital Photography Course for Beginners,19419,4.4,9538,776,5 hours,English,Paid,Ken Schultz,235681,1,18,2012-06-15,2013-05-14,1499.0,449.0,All Levels,Photography & Video,Digital Photography,No,Take dramatically better photos by learning the basic principles you need to master your DSLR camera,https://www.udemy.com/course/easydslr-for-beginners/,https://img-b.udemycdn.com/course/750x422/19419_c45b_8.jpg
Documentary Filmmaking Masterclass,1774872,3.6,3781,773,5 hours,English,Paid,Jonny Von Wallström,46344892,1,42,2018-08-06,2018-07-31,2299.0,449.0,All Levels,Photography & Video,Documentary Filmmaking,No,How to Make A Documentary - From Start to Finish by Award Winning Netflix Director,https://www.udemy.com/course/documentary-filmmaking-masterclass/,https://img-b.udemycdn.com/course/750x422/1774872_d7b8.jpg
Start Your Photography Business: A Photography Course,2400178,4.53,65537,771,6 hours,English,Paid,Phil Ebiner and Video School and William Carnahan,"317821, 19701574, 14267432",3,96,2019-06-07,2022-09-30,3399.0,649.0,All Levels,Photography & Video,Photography Business,Yes,A step-by-step guide to launching your own successful photography business!,https://www.udemy.com/course/photography-business-course/,https://img-b.udemycdn.com/course/750x422/2400178_b478_2.jpg
The Ultimate Beginner's Guide to Outdoor Photography - 2018,1548846,4.73,5898,767,9 hours,English,Paid,Josh Katz,43027536,1,73,2018-04-16,2018-04-14,3499.0,449.0,Beginner Level,Photography & Video,Landscape Photography,No,"Shoot and edit beautiful urban and nature photos. Capture street photos, cityscapes, sunsets, portraits, and more!",https://www.udemy.com/course/joshkatz/,https://img-b.udemycdn.com/course/750x422/1548846_276a_3.jpg
