id,title,url,instructor,image_url,price,rating
758190,Learn jQuery Mobile from Scratch,https://www.udemy.com/course/learn-jquery-mobile-from-scratch/,Eduonix Learning Solutions and Eduonix-Tech .,https://img-c.udemycdn.com/course/125_H/758190_6c33_2.jpg,455 INR,4.1178083
1112440,Getting Started with Unity 2D Game Development,https://www.udemy.com/course/getting-started-with-unity-2d-game-development/,Packt Publishing,https://img-c.udemycdn.com/course/125_H/1112440_94b9_2.jpg,455 INR,4.0715265
617606,The Scratch Academy - Entry Level Computer Programming,https://www.udemy.com/course/scratch-beginner-to-scratch-expert/,Benjamin East,https://img-c.udemycdn.com/course/125_H/617606_9bf1_2.jpg,455 INR,4.6031036
198050,The Next Step with Sass and Compass,https://www.udemy.com/course/the-next-step-with-sass-and-compass/,Lisa Catalano,https://img-c.udemycdn.com/course/125_H/198050_4343_2.jpg,455 INR,4.2634244
402992,Practical Liquid Markup Examples for Adobe Business Catalyst,https://www.udemy.com/course/practical-liquid-markup-examples-for-adobe-business-catalyst/,Scott Reynolds and Dave Haggblad,https://img-c.udemycdn.com/course/125_H/402992_f3d0_8.jpg,455 INR,4.54009
2020936,Master Premiere Pro Effects In ONLY 1 HOUR,https://www.udemy.com/course/1hourwithreversecuts/,Reverse Cuts,https://img-c.udemycdn.com/course/125_H/2020936_340c_2.jpg,455 INR,4.2274
2677360,WebDriverIO v5  JavaScript&Node.js automation for beginners,https://www.udemy.com/course/webdriverio-v5-javascriptnodejs-automation-for-beginners/,Andrii Derevianko,https://img-c.udemycdn.com/course/125_H/2677360_4041_2.jpg,455 INR,3.8739007
2521686,Practical Full Stack Web Development Course (100+Challenges),https://www.udemy.com/course/the-practical-introduction-to-web-development/,Gancho Radkov,https://img-c.udemycdn.com/course/125_H/2521686_f36b_5.jpg,455 INR,4.3079505
1113490,Transitioning from Microsoft Excel to Qlikview,https://www.udemy.com/course/excel-to-qv/,Abhishek Agarwal,https://img-b.udemycdn.com/course/125_H/1113490_1261.jpg?secure=QgsGnVU931x6xlrfgdYVBw%3D%3D%2C1636869483,455 INR,4.34757
783718,"Byte-Sized-Chunks: Stacks, Queues, Binary Trees, Heaps",https://www.udemy.com/course/stacks-queues-binary-trees-heaps/,Loony Corn,https://img-c.udemycdn.com/course/125_H/783718_4dcc.jpg,455 INR,4.9710746
869280,Themeforest Wordpress Theme Development With Option Panel,https://www.udemy.com/course/themeforest-wordpress-theme-development-with-option-panel/,MUHAMMAD AMAAN,https://img-c.udemycdn.com/course/125_H/869280_a983_2.jpg,455 INR,3.6165488
882864,Learn To Build A Financial App in iOS,https://www.udemy.com/course/learn-to-build-a-financial-app-in-ios/,Eduonix Learning Solutions and Eduonix-Tech .,https://img-c.udemycdn.com/course/125_H/882864_908f_2.jpg,455 INR,3.6000054
701764,Bite-Sized Data Science with Python and Pandas: Introduction,https://www.udemy.com/course/bite-sized-data-science-with-python-introduction/,Troy Shu,https://img-c.udemycdn.com/course/125_H/701764_3f0c_3.jpg,455 INR,4.306971
1954986,Complete Java Programming and Certification Guide,https://www.udemy.com/course/java-oca-ocp/,Maaike van Putten,https://img-c.udemycdn.com/course/125_H/1954986_f097_3.jpg,455 INR,4.501523
132788,Building Responsive Websites with HTML 5 & CSS3,https://www.udemy.com/course/building-responsive-websites-with-html-5-css3/,Stone River eLearning,https://img-b.udemycdn.com/course/125_H/132788_124b_5.jpg?secure=ItgxJQEpM6BccgKHgBXg5Q%3D%3D%2C1636853741,455 INR,4.7083793
1945822,Replacing jQuery with Vanilla JavaScript,https://www.udemy.com/course/not-jquery/,Mateusz Chrzonstowski,https://img-b.udemycdn.com/course/125_H/1945822_6bf5_11.jpg?secure=fRuqCxKZE2qPogzq1RByKg%3D%3D%2C1636848434,455 INR,4.163353
2278347,Laravel Full Course 2021: Build a Learning Management System,https://www.udemy.com/course/laravel-57-and-58-complete-worldclass-developer-bootcamp/,Dave Partner,https://img-c.udemycdn.com/course/125_H/2278347_40b2.jpg,455 INR,3.3925161
2387990,"Ionic 4-5 & Wordpress, iOS/Android, Push Notification 2020",https://www.udemy.com/course/ionic-4-wordpress-app-iosandroid-push-notification-2019/,Marsel Preci,https://img-c.udemycdn.com/course/125_H/2387990_5707_6.jpg,455 INR,3.8464053
