course_title,course_id,course_avg_ratings,num_course_subscribers,num_course_reviews,course_length,course_language,course_type,course_instructor,course_instructor_id,num_course_instructor,num_course_lectures,course_publsihed_date,course_updated_date,course_list_price_inr,course_current_price_inr,course_instructional_level,course_category,course_label,is_course_bestseller,course_headline,course_url,course_image_url
Learn To Play The Drums,392958,4.63,18769,2830,12 hours,English,Paid,Billy Baker,3913086,1,102,2015-05-28,2021-11-27,3199.0,649.0,All Levels,Music,Drums,Yes,Become a drummer with a step by step programme to get you from being drumming novice to drumming expert,https://www.udemy.com/course/learndrums/,https://img-c.udemycdn.com/course/750x422/392958_b8d3.jpg
Beginner Violin Lessons - VIOLIN MASTERY FROM THE BEGINNING,1582278,4.6,17358,2816,33 hours,English,Paid,Lesson Pros,13721614,1,266,2018-04-07,2022-09-19,799.0,529.0,Beginner Level,Music,Violin,Yes,Learn Beginner Violin - Learn Violin from Scratch - The most In depth beginner online Violin course. Violin Class Violin,https://www.udemy.com/course/beginner-violin-lessons-violin-master-course/,https://img-c.udemycdn.com/course/750x422/1582278_57ca_5.jpg
"The Professional Bass Masterclass - Bass 1, Bass 2, Bass 3",917432,4.67,20260,2789,9.5 hours,English,Paid,Rajiv Narang,21193264,1,136,2016-10-24,2022-10-27,5200.0,649.0,All Levels,Music,Bass Guitar,Yes,"Learn professional bass techniques, bass tools, & bass methods to master bass guitar from beginner bass to advanced bass",https://www.udemy.com/course/the-professional-bass-masterclass/,https://img-c.udemycdn.com/course/750x422/917432_a517_3.jpg
The Complete Piano & Music Theory Beginners Course,953152,4.68,21420,2589,1.5 hours,English,Paid,Musicians Inspired,13842688,1,26,2016-09-15,2022-02-18,3399.0,649.0,All Levels,Music,Music Theory,No,"Learn all piano and music theory basics quickly, and save big on months of initial private lessons!",https://www.udemy.com/course/piano-lessons-music-theory-beginners-course/,https://img-c.udemycdn.com/course/750x422/953152_83bd_2.jpg
"The Complete EDM Production Course - Produce, Mix & Master",1765246,4.64,13773,2506,12 hours,English,Paid,Fuad Murad,1338716,1,112,2018-06-27,2022-06-23,5200.0,649.0,All Levels,Music,Audio Production,Yes,"Learn EDM Production, mixing, mastering, sound design, arrangement, plugins, techniques & more using any software or DAW",https://www.udemy.com/course/edm-production/,https://img-c.udemycdn.com/course/750x422/1765246_4242_2.jpg
FL Studio 20 - Music Production + Mixing Music in FL Studio,1962026,4.64,13726,2363,24 hours,English,Paid,Tomas George and Ian Alexander and Digital Music Masters,"23566298, 49549822, 45765646",3,217,2019-08-20,2022-11-02,5200.0,649.0,All Levels,Music,FL Studio,No,"Learn Music Production in FL Studio 20 for Mac + PC for Recording, Editing, Composing, Mixing and Mastering in FL Studio",https://www.udemy.com/course/fl-studio-music-production-course/,https://img-c.udemycdn.com/course/750x422/1962026_c87e_5.jpg
The Basics Of Pro Songwriting,1093428,4.56,10952,2155,6 hours,English,Paid,Tom Worth,29193184,1,33,2017-05-22,2021-11-25,2299.0,649.0,Beginner Level,Music,Songwriting,No,Learn all the basics of writing commercial songs from Top 10 songwriter Tom Worth - plus the EXACT method used by Pro’s,https://www.udemy.com/course/the-basics-of-pro-songwriting/,https://img-c.udemycdn.com/course/750x422/1093428_eb62_8.jpg
Learn Guitar: Zero to Guitar Fingerpicking in 30 days,971962,4.37,22878,2027,3 hours,English,Paid,Patrick O'Malley,26186758,1,38,2016-12-28,2022-02-11,799.0,529.0,Beginner Level,Music,Fingerstyle Guitar,No,Learn guitar for beginners: guitar fingerpicking in 30 days,https://www.udemy.com/course/zero-to-guitar-fingerpicking/,https://img-c.udemycdn.com/course/750x422/971962_0ee7_3.jpg
The Ultimate Piano Chords Course - for Piano & Keyboard,1708482,4.73,10922,2014,9.5 hours,English,Paid,Arthur Bird,25295806,1,142,2018-10-10,2022-01-21,3399.0,649.0,All Levels,Music,Piano Chords,Yes,"Learn piano the easy way! Play your favourite songs & even SING along, with this simple & thorough guide to piano chords",https://www.udemy.com/course/the-ultimate-piano-chord-course-for-piano-keyboard/,https://img-c.udemycdn.com/course/750x422/1708482_c513_3.jpg
The Complete Piano Course - Master The Piano,574974,4.38,15415,1992,23 hours,English,Paid,Iliya Ryakhovskiy,12868934,1,240,2015-08-20,2016-12-12,3299.0,649.0,All Levels,Music,Piano,No,A full guide on learning how to use every single note on the piano. ,https://www.udemy.com/course/the-complete-piano-course/,https://img-c.udemycdn.com/course/750x422/574974_2b9d_3.jpg
Complete Fingerstyle Guitar Lessons - Beginner Fingerpicking,3931224,4.62,8437,1956,5.5 hours,English,Paid,Erich Andreas and Joe Robinson,"603974, 145980676",2,126,2021-04-08,2022-02-08,3999.0,649.0,Beginner Level,Music,Fingerstyle Guitar,Yes,Fingerpicking Guitar: Step-by-step with Joe Robinson,https://www.udemy.com/course/fingerstyle/,https://img-c.udemycdn.com/course/750x422/3931224_1e55_3.jpg
Music Composition 1,138902,4.6,13400,1947,2.5 hours,English,Paid,Jonathan Peters,2616250,1,120,2014-01-28,2022-07-06,2299.0,649.0,Beginner Level,Music,Music Composition,No,Learn how to compose well-written rhythms and melodies,https://www.udemy.com/course/music-composition-1/,https://img-c.udemycdn.com/course/750x422/138902_a9a3_11.jpg
Ultimate Beginner Electric Guitar Masterclass,1359058,4.78,21749,1923,12.5 hours,English,Paid,Henry Olsen,12277336,1,127,2017-10-25,2022-06-28,5200.0,649.0,All Levels,Music,Guitar,No,"Learn step-by-step, proven electric guitar method that will teach you to play electric guitar for beginners in a month",https://www.udemy.com/course/rock-guitar-masterclass/,https://img-c.udemycdn.com/course/750x422/1359058_2d04_11.jpg
